id_origem,prova,ano,numero,area,topico_sugerido,topico_titulo,confianca,score,alternativa_2,alternativa_3,enunciado_100,aprovado,topico_corrigido
ENEM-2009-091,ENEM,2009,91,linguagens,art.linguagens,"Artes, Mídias e Manifestações Culturais",baixa,0.091,por.leitura.generos,por.leitura.intertextualidade,"Os melhores críticos da cultura brasileira trataram-na sempre no plural, isto é, enfatizando a coexi",,
ENEM-2009-092,ENEM,2009,92,linguagens,por.leitura.generos,Gêneros Textuais e Compreensão Leitora,baixa,0.000,por.leitura.intertextualidade,por.discurso,Gerente – Boa tarde. Em que eu posso ajudá-lo?   Cliente – Estou interessado em financiamento para c,,
ENEM-2009-093,ENEM,2009,93,linguagens,por.leitura.generos,Gêneros Textuais e Compreensão Leitora,baixa,0.000,por.leitura.intertextualidade,por.discurso,Analise as seguintes avaliações de possíveis resultados de   um teste na Internet.  ![](https://enem,,
ENEM-2009-094,ENEM,2009,94,linguagens,art.linguagens,"Artes, Mídias e Manifestações Culturais",baixa,0.091,por.leitura.generos,por.leitura.intertextualidade,A música pode ser definida como a combinação de sons ao longo do tempo. Cada produto final oriundo d,,
ENEM-2009-095,ENEM,2009,95,linguagens,art.linguagens,"Artes, Mídias e Manifestações Culturais",media,0.273,lit.generos,por.leitura.generos,"No programa do balé Parade, apresentado em 18 de maio de 1917, foi empregada publicamente, pela prim",,
ENEM-2009-096,ENEM,2009,96,linguagens,por.leitura.generos,Gêneros Textuais e Compreensão Leitora,baixa,0.000,por.leitura.intertextualidade,por.discurso,![](https://enem.dev/2009/questions/96/05bce341-8926-454e-8c24-49814582373d.jpg)  Os principais recu,,
ENEM-2009-097,ENEM,2009,97,linguagens,por.leitura.generos,Gêneros Textuais e Compreensão Leitora,baixa,0.000,por.leitura.intertextualidade,por.discurso,![](https://enem.dev/2009/questions/97/21bc16d2-a579-454e-ade1-28f57b52d15d.jpg)  O texto tem o obje,,
ENEM-2009-099,ENEM,2009,99,linguagens,lit.generos,Gêneros e Recursos Literários,media,0.231,por.leitura.generos,lit.periodos,"**Cárcere das almas**  Ah! Toda a alma num cárcere anda presa,   Soluçando nas trevas, entre as grad",,
ENEM-2009-100,ENEM,2009,100,linguagens,por.discurso,Análise do Discurso e Linguagem,media,0.182,lit.generos,por.leitura.generos,![](https://enem.dev/2009/questions/100/8d5cbf39-b768-437a-a494-eb718d3f64a5.jpg)  Tendo em vista a ,,
ENEM-2009-102,ENEM,2009,102,linguagens,por.gramatica.morfologia,Morfologia e Classes de Palavras,media,0.192,por.leitura.intertextualidade,por.leitura.generos,Gênero dramático é aquele em que o artista usa como intermediária entre si e o público a representaç,,
