id_origem,prova,ano,numero,area,topico_sugerido,topico_titulo,confianca,score,alternativa_2,alternativa_3,enunciado_100,aprovado,topico_corrigido
UERJ-2020-1º_exame_de_qualificacao-011,UERJ,2020,11,linguagens,por.discurso,Análise do Discurso e Linguagem,alta,0.455,por.leitura.generos,por.leitura.intertextualidade,"Para valorizar poeticamente os violinos, combinam-se duas figuras de linguagem, o eufemismo e a 11 p",,
UERJ-2020-1º_exame_de_qualificacao-013,UERJ,2020,13,linguagens,por.discurso,Análise do Discurso e Linguagem,baixa,0.091,lit.generos,por.leitura.generos,"No conto de Marina Colasanti, Bem e Mal são ideias personificadas. 13 Essa personificação é identifi",,
UERJ-2020-1º_exame_de_qualificacao-015,UERJ,2020,15,linguagens,lit.generos,Gêneros e Recursos Literários,baixa,0.077,por.leitura.generos,por.leitura.intertextualidade,"É comum, no pensamento contemporâneo, o entendimento de que os conceitos de Bem e de 15 Mal não são ",,
UERJ-2020-1º_exame_de_qualificacao-018,UERJ,2020,18,linguagens,por.discurso,Análise do Discurso e Linguagem,media,0.273,lit.generos,por.leitura.generos,"Na narrativa, o desejo inicial e a decisão final do personagem podem ser relacionados por meio 18 da",,
UERJ-2020-1º_exame_de_qualificacao-019,UERJ,2020,19,linguagens,lit.generos,Gêneros e Recursos Literários,media,0.154,por.leitura.generos,por.discurso,"O conto inteiro pode ser compreendido como um eufemismo, que procura atenuar o sentido do 19 seguint",,
UERJ-2020-1º_exame_de_qualificacao-020,UERJ,2020,20,linguagens,lit.generos,Gêneros e Recursos Literários,baixa,0.077,por.leitura.generos,por.leitura.intertextualidade,"O conto constrói um paradoxo, que está formulado em: 20",,
UERJ-2020-2º_exame_de_qualificacao-001,UERJ,2020,1,linguagens,por.discurso,Análise do Discurso e Linguagem,media,0.227,por.leitura.generos,por.leitura.intertextualidade,"Considerada a forma por excelência da linguagem figurada, a metáfora às vezes é tida 01 como mero em",,
UERJ-2020-2º_exame_de_qualificacao-017,UERJ,2020,17,linguagens,por.leitura.intertextualidade,Intertextualidade e Interdiscursividade,media,0.222,por.leitura.generos,por.discurso,"17 JOANA: O pai e a filha vão colher a tempestade Hécate, feiticeira das encruzilhadas, A ira dos ce",,
UERJ-2020-2º_exame_de_qualificacao-019,UERJ,2020,19,linguagens,por.discurso,Análise do Discurso e Linguagem,media,0.182,por.leitura.intertextualidade,art.linguagens,"19 JOANA: (...) nem futuro, que uma simples piada Seu povo é que é urgente, força cega, pode dar em ",,
UERJ-2020-2º_exame_de_qualificacao-020,UERJ,2020,20,linguagens,por.discurso,Análise do Discurso e Linguagem,baixa,0.091,lit.generos,por.leitura.generos,"20 JOANA: (...) Por favor Já lhe dei meu corpo, não me servia Deixa em paz meu coração Já estanquei ",,
UERJ-2020-2º_exame_de_qualificacao-021,UERJ,2020,21,linguagens,lit.generos,Gêneros e Recursos Literários,baixa,0.077,por.leitura.generos,por.leitura.intertextualidade,"No final da peça, Joana fala do “sofrimento de conviver com a tragédia todo dia”. 21 Em relação a es",,
UERJ-2020-2º_exame_de_qualificacao-027,UERJ,2020,27,linguagens,por.discurso,Análise do Discurso e Linguagem,baixa,0.091,por.leitura.generos,por.leitura.intertextualidade,Siento como si todo el peso del mundo descansara sobre mis hombros (l. 25-26) 27 La metáfora en dest,,
UERJ-2022-exame_unico-009,UERJ,2022,9,linguagens,por.leitura.generos,Gêneros Textuais e Compreensão Leitora,alta,0.450,por.leitura.intertextualidade,por.discurso,"No soneto III, o poeta aborda a frustração amorosa, empregando construções de um tipo textual 09 não",,
UERJ-2022-exame_unico-010,UERJ,2022,10,linguagens,lit.generos,Gêneros e Recursos Literários,media,0.154,por.leitura.generos,por.leitura.intertextualidade,"Como se a não tivera merecida, (3ª estrofe) 10 O verso acima estabelece determinada relação de senti",,
UERJ-2023-exame_unico-007,UERJ,2023,7,linguagens,lit.generos,Gêneros e Recursos Literários,media,0.154,por.leitura.generos,por.leitura.intertextualidade,"O romance apresenta uma narrativa em primeira pessoa, mas contém passagens nas quais se 07 identific",,
UERJ-2023-exame_unico-009,UERJ,2023,9,linguagens,por.discurso,Análise do Discurso e Linguagem,media,0.273,por.leitura.generos,por.leitura.intertextualidade,As mulheres de Tony pertencem a diferentes grupos étnicos: Rami é ronga; Ju é changana; Lu é 09 sena,,
UERJ-2023-exame_unico-014,UERJ,2023,14,linguagens,por.gramatica.semantica,Semântica e Variação Linguística,baixa,0.100,por.leitura.generos,por.leitura.intertextualidade,Una marca de registro formal se puede identificar en: 14,,
UERJ-2024-1º_exame_de_qualificacao-014,UERJ,2024,14,linguagens,por.discurso,Análise do Discurso e Linguagem,media,0.273,por.leitura.generos,por.leitura.intertextualidade,– O teu Amigo Pintor foi pro inferno. 14 Levei um susto tão grande que a fala nem saiu logo. Ela dis,,
UERJ-2024-1º_exame_de_qualificacao-018,UERJ,2024,18,linguagens,art.linguagens,"Artes, Mídias e Manifestações Culturais",media,0.182,lit.generos,por.leitura.generos,"No primeiro sonho relatado no livro, o narrador se encontra em um teatro e acaba subindo ao 18 palco",,
UERJ-2024-1º_exame_de_qualificacao-019,UERJ,2024,19,linguagens,por.coesao,Coesão e Coerência Textual,baixa,0.100,por.leitura.generos,por.leitura.intertextualidade,"Os dois-pontos estabelecem coesão entre partes de uma frase, introduzindo diferentes ideias. 19 Os d",,
UERJ-2024-1º_exame_de_qualificacao-021,UERJ,2024,21,linguagens,lit.generos,Gêneros e Recursos Literários,media,0.154,art.linguagens,por.leitura.generos,acabei até sabendo que eu não tinha nada que separar Amigo pra cá e por que pra lá. O 21 que eu tinh,,
UERJ-2024-1º_exame_de_qualificacao-024,UERJ,2024,24,linguagens,por.leitura.generos,Gêneros Textuais e Compreensão Leitora,baixa,0.100,por.leitura.intertextualidade,por.discurso,se notaba ansioso y maldecía que la puerta de embarque no se hubiera abierto ya. (l. 3) 24 En el pri,,
UERJ-2024-1º_exame_de_qualificacao-025,UERJ,2024,25,linguagens,por.gramatica.morfologia,Morfologia e Classes de Palavras,baixa,0.115,por.leitura.generos,por.leitura.intertextualidade,que en 1982 ya hablaba de la “enfermedad del tiempo” (l. 6-7) 25 La forma verbal subrayada arriba ex,,
UERJ-2024-1º_exame_de_qualificacao-027,UERJ,2024,27,linguagens,por.discurso,Análise do Discurso e Linguagem,alta,0.364,por.leitura.generos,por.leitura.intertextualidade,somos nosotros quienes podemos apagar ese interruptor (l. 25) 27 El trecho subrayado tiene función a,,
UERJ-2024-2º_exame_de_qualificacao-009,UERJ,2024,9,linguagens,lit.generos,Gêneros e Recursos Literários,media,0.154,por.leitura.generos,por.leitura.intertextualidade,A decisão de quem será o narrador é um ponto crucial e inaugurador de qualquer trabalho 09 literário,,
