id_origem,prova,ano,numero,area,topico_sugerido,topico_titulo,confianca,score,alternativa_2,alternativa_3,enunciado_100,aprovado,topico_corrigido
ENEM-2009-136,ENEM,2009,136,matematica,mat.progressoes.pa,Progressão Aritmética (PA),media,0.167,mat.geometria.espacial,mat.algebra.equacoes1,Dados da Associação Nacional de Empresas de Transportes Urbanos (ANTU) mostram que o número de passa,,
ENEM-2009-137,ENEM,2009,137,matematica,mat.algebra.sistemas,Sistemas de Equações,baixa,0.143,mat.numeros.reais,mat.algebra.expressoes,"O mapa ao lado representa um bairro de determinada cidade, no qual as flechas indicam o sentido das ",,
ENEM-2009-138,ENEM,2009,138,matematica,mat.geometria.espacial,Geometria Espacial: Sólidos Geométricos,media,0.150,mat.estatistica,mat.numeros.reais,"A população mundial está ficando mais velha, os índices de natalidade diminuíram e a expectativ",,
ENEM-2009-139,ENEM,2009,139,matematica,mat.geometria.espacial,Geometria Espacial: Sólidos Geométricos,media,0.150,mat.probabilidade,mat.estatistica,"A população mundial está ficando mais velha, os índices de natalidade diminuíram e a expectativ",,
ENEM-2009-141,ENEM,2009,141,matematica,mat.algebra.sistemas,Sistemas de Equações,baixa,0.143,mat.geometria.espacial,mat.numeros.reais,Uma resolução do Conselho Nacional de Política Energética (CNPE) estabeleceu a obrigatoriedade de ad,,
ENEM-2009-142,ENEM,2009,142,matematica,mat.funcoes.linear,Funções Lineares e Afins,media,0.214,mat.matrizes,mat.algebra.equacoes1,A suspeita de que haveria uma relação causal entre tabagismo e câncer de pulmão foi levantada pe,,
ENEM-2009-143,ENEM,2009,143,matematica,mat.estatistica,Estatística,baixa,0.100,mat.numeros.reais,mat.algebra.expressoes,"O gráfico a seguir mostra a evolução, de abril de 2008 a maio de 2009, da população economicame",,
ENEM-2009-144,ENEM,2009,144,matematica,mat.algebra.sistemas,Sistemas de Equações,baixa,0.143,mat.combinatoria,mat.numeros.reais,"A música e a matemática se encontram na representação dos tempos das notas musicais, conforme a figu",,
ENEM-2009-145,ENEM,2009,145,matematica,mat.probabilidade,Probabilidade,baixa,0.143,mat.algebra.sistemas,mat.numeros.reais,O controle de qualidade de uma empresa fabricante de telefones celulares aponta que a probabilidade ,,
ENEM-2009-146,ENEM,2009,146,matematica,mat.funcoes.linear,Funções Lineares e Afins,media,0.214,mat.funcoes.quadratica,mat.trigonometria.circulo,Uma pousada oferece pacotes promocionais para atrair casais a se hospedarem por até oito dias. A hos,,
ENEM-2009-147,ENEM,2009,147,matematica,mat.numeros.reais,Números Reais,baixa,0.000,mat.algebra.expressoes,mat.algebra.equacoes1,As figuras a seguir exibem um trecho de um quebra-cabeças que está sendo montado. Observe que as peç,,
ENEM-2009-148,ENEM,2009,148,matematica,mat.funcoes.linear,Funções Lineares e Afins,media,0.214,mat.funcoes.quadratica,mat.trigonometria.circulo,"A tabela mostra alguns dados da emissão de dióxido de carbono de uma fábrica, em função do número de",,
ENEM-2009-149,ENEM,2009,149,matematica,mat.numeros.reais,Números Reais,baixa,0.000,mat.algebra.expressoes,mat.algebra.equacoes1,"Em Florença, Itália, na Igreja de Santa Croce, é possível encontrar um portão em que aparecem os ané",,
ENEM-2009-150,ENEM,2009,150,matematica,mat.trigonometria.circulo,Trigonometria no Círculo e Funções Trigonométricas,baixa,0.125,mat.estatistica,mat.numeros.reais,Brasil e França têm relações comerciais há mais de 200 anos. Enquanto a França é a 5ª nação mais ric,,
ENEM-2009-151,ENEM,2009,151,matematica,mat.numeros.complexos,Números Complexos,media,0.188,mat.geometria.espacial,mat.numeros.reais,"Um grupo de 50 pessoas fez um orçamento inicial para organizar uma festa, que seria dividido entre e",,
ENEM-2009-152,ENEM,2009,152,matematica,mat.geometria.espacial,Geometria Espacial: Sólidos Geométricos,media,0.150,mat.numeros.reais,mat.algebra.expressoes,**Técnicos concluem mapeamento do aquífero Guarani**  O aquífero Guarani localiza-se no subterrâneo ,,
ENEM-2009-153,ENEM,2009,153,matematica,mat.funcoes.exponencial,Funções Exponenciais,baixa,0.143,mat.geometria.plana.basico,mat.geometria.plana.areas,"Suponha que, na escultura do artista Emanoel Araújo, mostrada na figura a seguir, todos os prismas n",,
