id_origem,prova,ano,numero,area,topico_sugerido,topico_titulo,confianca,score,alternativa_2,alternativa_3,enunciado_100,aprovado,topico_corrigido
ENEM-2009-002,ENEM,2009,2,ciencias-natureza,qui.reacoes.tipos,Tipos de Reações Inorgânicas,baixa,0.125,qui.cinetica,fis.ondas.mecanicas,Analise a figura.  ![](https://enem.dev/2009/questions/2/7af3247b-4580-4b52-8d5a-b64887db9b0e.png)  ,,
ENEM-2009-003,ENEM,2009,3,ciencias-natureza,bio.imunologia,Imunologia e Saúde,alta,0.385,qui.ambiental,qui.organica.basico,Estima-se que haja atualmente no mundo 40 milhões de pessoas infectadas pelo HIV (o vírus que causa ,,
ENEM-2009-004,ENEM,2009,4,ciencias-natureza,bio.genetica.mendeliana,Genética Mendeliana,baixa,0.083,fis.mecanica.cinematica,fis.mecanica.dinamica,"Em um experimento, preparou-se um conjunto de plantas por técnica de clonagem a partir de uma planta",,
ENEM-2009-005,ENEM,2009,5,ciencias-natureza,fis.mecanica.gravitacao,Gravitação Universal,alta,0.357,fis.mecanica.cinematica,fis.mecanica.dinamica,"Na linha de uma tradição antiga, o astrônomo grego Ptolomeu (100-170 d.C.) afirmou a tese do geocent",,
ENEM-2009-006,ENEM,2009,6,ciencias-natureza,bio.ecologia.basico,Ecologia: Ecossistemas e Relações Ecológicas,media,0.231,qui.oxirreducao,qui.organica.reacoes,"O ciclo biogeoquímico do carbono compreende diversos compartimentos, entre os quais a Terra, a atmos",,
ENEM-2009-007,ENEM,2009,7,ciencias-natureza,qui.organica.polimeros,Polímeros e Bioquímica,baixa,0.083,bio.anatomia.sistemas,bio.genetica.molecular,Um novo método para produzir insulina artificial que utiliza tecnologia de DNA recombinante foi dese,,
ENEM-2009-010,ENEM,2009,10,ciencias-natureza,bio.celula.metabolismo,Metabolismo Celular: Fotossíntese e Respiração,alta,0.364,qui.organica.basico,qui.reacoes.tipos,A fotossíntese é importante para a vida na Terra. Nos cloroplastos dos organismos fotossintetizantes,,
ENEM-2009-011,ENEM,2009,11,ciencias-natureza,bio.anatomia.sistemas,Fisiologia Humana: Sistemas,media,0.250,fis.termodinamica.temperatura,qui.cinetica,"Para que todos os órgãos do corpo humano funcionem em boas condições, é necessário que a temperatura",,
ENEM-2009-012,ENEM,2009,12,ciencias-natureza,qui.organica.basico,Química Orgânica: Nomenclatura e Funções,media,0.214,qui.acidos_bases,qui.solucoes,"![](https://enem.dev/2009/questions/12/233eafdb-167e-4978-a815-54aad9e6bee2.jpg)  Em solução, os a",,
ENEM-2009-014,ENEM,2009,14,ciencias-natureza,fis.mecanica.dinamica,Dinâmica: Leis de Newton e Aplicações,baixa,0.111,fis.eletricidade.eletrostatica,qui.ambiental,![](https://enem.dev/2009/questions/14/524ed514-1e24-42fe-9a5f-efebf0ce3c6d.png)  Aumentar a eficiên,,
ENEM-2009-015,ENEM,2009,15,ciencias-natureza,qui.eletroquimica,Eletroquímica,baixa,0.111,fis.eletricidade.corrente,fis.mecanica.cinematica,![](https://enem.dev/2009/questions/15/a4e6a5bb-5a91-4e8a-86f2-b4775c56178f.jpg)  Entre as impurezas,,
ENEM-2009-016,ENEM,2009,16,ciencias-natureza,bio.genetica.molecular,"Genética Molecular: DNA, RNA e Síntese Proteica",media,0.308,fis.moderna,qui.geometria,A figura seguinte representa um modelo de transmissão da informação genética nos sistemas biológicos,,
ENEM-2009-017,ENEM,2009,17,ciencias-natureza,fis.mecanica.rotacao,Estática e Dinâmica de Rotação,media,0.250,fis.mecanica.cinematica,fis.mecanica.dinamica,O Brasil pode se transformar no primeiro país das Américas a entrar no seleto grupo das nações que d,,
