id_origem,prova,ano,numero,area,topico_sugerido,topico_titulo,confianca,score,alternativa_2,alternativa_3,enunciado_100,aprovado,topico_corrigido
UERJ-2020-1º_exame_de_qualificacao-004,UERJ,2020,4,ciencias-natureza,qui.ambiental,Química Ambiental e Industrial,alta,0.400,bio.ecologia.basico,qui.oxirreducao,Várias mudanças ambientais interferem no ciclo biogeoquímico do carbono. Sabe-se que a 04 maior part,,
UERJ-2020-1º_exame_de_qualificacao-008,UERJ,2020,8,ciencias-natureza,qui.ambiental,Química Ambiental e Industrial,alta,0.600,fis.termodinamica.temperatura,qui.cinetica,"Com o aumento do efeito estufa, a chuva ácida pode atingir a temperatura de 250 ºC. 08 Na escala Kel",,
UERJ-2020-1º_exame_de_qualificacao-029,UERJ,2020,29,ciencias-natureza,fis.ondas.mecanicas,Ondas Mecânicas e Acústica,baixa,0.100,fis.mecanica.cinematica,fis.mecanica.dinamica,Uma gerente de loja e seu assistente viajam com frequência para São Paulo e voltam no mesmo 29 dia. ,,
UERJ-2020-1º_exame_de_qualificacao-035,UERJ,2020,35,ciencias-natureza,qui.geometria,Geometria Molecular e Forças Intermoleculares,baixa,0.111,fis.moderna,bio.celula.estrutura,Considere que uma molécula de DNA com todas as citosinas marcadas radioativamente foi 35 transferida,,
UERJ-2020-1º_exame_de_qualificacao-036,UERJ,2020,36,ciencias-natureza,qui.ligacoes,Ligações Químicas,media,0.333,qui.termodinamica,qui.estequiometria,"Para romper uma ligação de hidrogênio de 1 mol de DNA, é necessário um valor médio de energia 36 E =",,
UERJ-2020-1º_exame_de_qualificacao-038,UERJ,2020,38,ciencias-natureza,fis.eletricidade.corrente,Eletrodinâmica: Circuitos Elétricos,alta,0.400,fis.ondas.mecanicas,fis.eletricidade.eletrostatica,"Em um experimento, quatro condutores, I, II, III e IV, constituídos por metais diferentes e com 38 m",,
UERJ-2020-1º_exame_de_qualificacao-040,UERJ,2020,40,ciencias-natureza,qui.estrutura.atomica,Estrutura Atômica e Tabela Periódica,media,0.231,fis.mecanica.cinematica,fis.mecanica.dinamica,"Considere uma amostra laboratorial de 0,43 g de mendelévio. 40 O número de átomos presentes nessa am",,
UERJ-2020-1º_exame_de_qualificacao-041,UERJ,2020,41,ciencias-natureza,bio.evolucao,Evolução Biológica,alta,0.545,fis.termodinamica.gases,fis.mecanica.cinematica,Determinado processo presente em todos os seres vivos não foi explicado pela teoria evolutiva 41 de ,,
UERJ-2020-1º_exame_de_qualificacao-043,UERJ,2020,43,ciencias-natureza,bio.anatomia.sistemas,Fisiologia Humana: Sistemas,media,0.333,qui.oxirreducao,fis.eletricidade.corrente,"Em situações de perigo, o sistema nervoso autônomo simpático produz uma série de alterações 43 fisio",,
UERJ-2020-1º_exame_de_qualificacao-044,UERJ,2020,44,ciencias-natureza,qui.organica.isomeria,Isomeria Orgânica,alta,0.444,qui.estequiometria,qui.organica.basico,"Em uma unidade industrial, emprega-se uma mistura líquida formada por solventes orgânicos 44 que apr",,
UERJ-2020-1º_exame_de_qualificacao-046,UERJ,2020,46,ciencias-natureza,fis.mecanica.dinamica,Dinâmica: Leis de Newton e Aplicações,media,0.278,fis.mecanica.impulso,fis.mecanica.cinematica,"Observe no gráfico a variação, em newtons, da intensidade da força F aplicada pelos motores 46 de um",,
UERJ-2020-1º_exame_de_qualificacao-049,UERJ,2020,49,ciencias-natureza,bio.ecologia.populacao,Ecologia de Populações e Dinâmica Populacional,baixa,0.125,fis.mecanica.cinematica,fis.mecanica.dinamica,"TAXA DE CRESCIMENTO POPULACIONAL EM 2015 (%) 49 (cid:31)1,7 a (cid:31)1,3 00 a 1,5 (cid:31)1,3 a (ci",,
UERJ-2020-2º_exame_de_qualificacao-004,UERJ,2020,4,ciencias-natureza,qui.ligacoes,Ligações Químicas,alta,0.833,qui.estrutura.atomica,fis.mecanica.cinematica,Há um tipo de ligação interatômica em que os elétrons das camadas mais externas transitam 04 entre o,,
UERJ-2020-2º_exame_de_qualificacao-011,UERJ,2020,11,ciencias-natureza,qui.ambiental,Química Ambiental e Industrial,media,0.150,fis.mecanica.cinematica,fis.mecanica.dinamica,"Metáforas são um perigo. (l. 1) 11 No primeiro parágrafo do texto Com a lama na alma, o autor dá um ",,
