id_origem,prova,ano,numero,area,topico_sugerido,topico_titulo,confianca,score,alternativa_2,alternativa_3,enunciado_100,aprovado,topico_corrigido
ENEM-2009-001,ENEM,2009,1,ciencias-humanas,geo.brasil.industria,Industrialização e Espaço Industrial Brasileiro,alta,0.357,his.geral.seculo18_19,geo.fisica.clima,"A atmosfera terrestre é composta pelos gases nitrogênio (N2) e oxigênio (O2), que somam cerca de 99%",,
ENEM-2009-008,ENEM,2009,8,ciencias-humanas,geo.ambiental,Questões Ambientais e Desenvolvimento Sustentável,media,0.188,his.brasil.colonial,soc.cultura_identidade,"A economia moderna depende da disponibilidade de muita energia em diferentes formas, para funcionar ",,
ENEM-2009-009,ENEM,2009,9,ciencias-humanas,geo.fisica.clima,Climatologia e Meteorologia,media,0.227,geo.brasil.regionalizacao,his.brasil.colonial,As mudanças climáticas e da vegetação ocorridas nos trópicos da América do Sul têm sido bem document,,
ENEM-2009-013,ENEM,2009,13,ciencias-humanas,soc.teorias,Teorias Sociológicas Clássicas,media,0.273,his.brasil.colonial,geo.brasil.populacao,"A abertura e a pavimentação de rodovias em zonas rurais e regiões afastadas dos centros urbanos, por",,
ENEM-2009-023,ENEM,2009,23,ciencias-humanas,geo.fisica.relevo,"Relevo, Geologia e Mineração",baixa,0.091,his.brasil.colonial,his.brasil.imperial,Cerca de 1% do lixo urbano é constituído por resíduos sólidos contendo elementos tóxicos. Entre esse,,
ENEM-2009-024,ENEM,2009,24,ciencias-humanas,geo.fisica.clima,Climatologia e Meteorologia,media,0.182,his.geral.moderna,his.brasil.colonial,Umidade relativa do ar é o termo usado para descrever a quantidade de vapor de água contido na atmos,,
ENEM-2009-029,ENEM,2009,29,ciencias-humanas,his.brasil.colonial,Brasil Colonial (1500–1808),baixa,0.000,his.brasil.imperial,his.brasil.republica_velha,![](https://enem.dev/2009/questions/29/8b64e737-d832-4707-9ffe-9eb28b3f7b1c.jpg)  O antimônio é um,,
ENEM-2009-046,ENEM,2009,46,ciencias-humanas,geo.brasil.populacao,População Brasileira e Fluxos Migratórios,baixa,0.125,geo.brasil.regionalizacao,soc.trabalho,"O Egito é visitado anualmente por milhões de turistas de todos os quadrantes do planeta, desejosos",,
ENEM-2009-047,ENEM,2009,47,ciencias-humanas,his.brasil.colonial,Brasil Colonial (1500–1808),baixa,0.000,his.brasil.imperial,his.brasil.republica_velha,"O que se entende por Corte do antigo regime é, em primeiro lugar, a casa de habitação dos reis de",,
ENEM-2009-048,ENEM,2009,48,ciencias-humanas,his.geral.seculo18_19,Revoluções do Século XVIII e XIX,alta,0.444,soc.teorias,his.geral.antiguidade,"Hoje em dia, nas grandes cidades, enterrar os mortos é uma prática quase íntima, que diz respeito",,
ENEM-2009-049,ENEM,2009,49,ciencias-humanas,his.geral.antiguidade,"Mundo Antigo: Egito, Grécia e Roma",media,0.273,his.geral.moderna,his.geral.seculo18_19,A Idade Média é um extenso período da História do Ocidente cuja memória é construída e recons,,
ENEM-2009-050,ENEM,2009,50,ciencias-humanas,his.geral.seculo18_19,Revoluções do Século XVIII e XIX,media,0.222,his.geral.moderna,geo.geopolitica,A primeira metade do século XX foi marcada por conflitos e processos que a inscreveram como um dos ,,
ENEM-2009-051,ENEM,2009,51,ciencias-humanas,soc.cidadania,"Cidadania, Estado e Direitos",alta,0.500,geo.brasil.populacao,his.geral.seculo20,Os regimes totalitários da primeira metade do século XX apoiaram-se fortemente na mobilização da juv,,
ENEM-2009-052,ENEM,2009,52,ciencias-humanas,geo.geopolitica,Geopolítica Mundial e Globalização,alta,0.550,his.geral.seculo20,soc.teorias,"Do ponto de vista geopolítico, a Guerra Fria dividiu a Europa em dois blocos. Essa divisão propiciou",,
ENEM-2009-053,ENEM,2009,53,ciencias-humanas,soc.cidadania,"Cidadania, Estado e Direitos",alta,0.500,soc.teorias,his.brasil.nova_republica,"O ano de 1968 ficou conhecido pela efervescência social, tal como se pode comprovar pelo seguinte tr",,
ENEM-2009-054,ENEM,2009,54,ciencias-humanas,his.brasil.colonial,Brasil Colonial (1500–1808),media,0.150,geo.fisica.hidrografia,his.brasil.imperial,Os Yanomami constituem uma sociedade indígena do norte da Amazônia e formam um amplo conjunto linguí,,
ENEM-2009-055,ENEM,2009,55,ciencias-humanas,his.geral.seculo20,Século XX: Guerras Mundiais e Guerra Fria,alta,0.556,his.geral.seculo18_19,his.africa_diaspora,"O fim da Guerra Fria e da bipolaridade, entre as décadas de 1980 e 1990, gerou expectativas de que s",,
ENEM-2009-056,ENEM,2009,56,ciencias-humanas,soc.teorias,Teorias Sociológicas Clássicas,media,0.273,soc.cidadania,fil.politica,"Na democracia estado-unidense, os cidadãos são incluídos na sociedade pelo exercício pleno dos direi",,
ENEM-2009-057,ENEM,2009,57,ciencias-humanas,geo.fisica.clima,Climatologia e Meteorologia,media,0.227,his.america,fil.etica,"Na década de 30 do século XIX, Tocqueville escreveu as seguintes linhas a respeito da moralidade n",,
ENEM-2009-058,ENEM,2009,58,ciencias-humanas,his.geral.antiguidade,"Mundo Antigo: Egito, Grécia e Roma",media,0.182,his.brasil.era_vargas,soc.cidadania,"Segundo Aristóteles, “na cidade com o melhor conjunto de normas e naquela dotada de homens absolutam",,
ENEM-2009-059,ENEM,2009,59,ciencias-humanas,soc.teorias,Teorias Sociológicas Clássicas,media,0.273,his.brasil.colonial,geo.fisica.clima,"Para Caio Prado Jr., a formação brasileira se completaria no momento em que fosse superada a nossa",,
